timestamp,filename,prediction,risk_score,model_probability,cue_count,header_anomaly_count,triggered_cues
2026-06-13T22:30:40Z,hard_phishing_polite.html,Suspicious / needs review,0.5429,0.6807,3,0,Urgency language detected; Action-oriented request detected; Generic greeting detected
2026-06-13T22:31:25Z,hard_legitimate_portal.html,Likely legitimate,0.2078,0.2397,2,0,Action-oriented request detected; Generic greeting detected
2026-06-13T22:31:54Z,obvious_phishing_quota.html,Likely phishing,0.8783,0.9999,5,0,Urgency language detected; Action-oriented request detected; Threat or punishment language detected; Generic greeting detected; IP-based URL detected
2026-06-13T23:05:27Z,hard_phishing_polite.html,Suspicious / needs review,0.5612,0.7077,3,0,Urgency language detected; Action-oriented request detected; Generic greeting detected
2026-06-13T23:07:02Z,obvious_phishing_quota.html,Likely phishing,0.8783,0.9999,5,0,Urgency language detected; Action-oriented request detected; Threat or punishment language detected; Generic greeting detected; IP-based URL detected
2026-06-13T23:07:30Z,hard_legitimate_portal.html,Likely legitimate,0.2271,0.268,2,0,Action-oriented request detected; Generic greeting detected
2026-06-13T23:36:05Z,hard_phishing_polite.html,Suspicious / needs review,0.5836,0.7077,4,0,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), which is typical of mass phishing campaigns.; [HIGH] Credential redirect URL detected: At least one link contains a path keyword such as /login, /verify or /auth — commonly used on spoofed landing pages designed to steal user credentials."
2026-06-14T00:04:17Z,hard_phishing_polite.html,Suspicious / needs review,0.5927,0.7211,4,0,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), which is typical of mass phishing campaigns.; [HIGH] Credential redirect URL detected: At least one link contains a path keyword such as /login, /verify or /auth — commonly used on spoofed landing pages designed to steal user credentials."
2026-06-14T00:04:45Z,obvious_phishing_quota.html,Likely phishing,0.8998,0.9985,6,0,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [HIGH] Threat language detected: Attempts to frighten the user by claiming their account is suspended, locked or compromised.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), which is typical of mass phishing campaigns.; [CRITICAL] IP-based URL detected: A link points directly to a raw IP address instead of a legitimate domain name.; [HIGH] Credential redirect URL detected: At least one link contains a path keyword such as /login, /verify or /auth — commonly used on spoofed landing pages designed to steal user credentials."
2026-06-14T00:26:12Z,phishing_reply_mismatch.eml,Likely phishing,0.9417,0.9755,7,2,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), which is typical of mass phishing campaigns.; [CRITICAL] Spoofed domain detected: A link mimics a well-known platform (e.g. PayPal, Microsoft) using character substitution.; [HIGH] Credential redirect URL detected: At least one link contains a path keyword such as /login, /verify or /auth — commonly used on spoofed landing pages designed to steal user credentials.; Reply-To domain differs from From domain; Return-Path domain differs from From domain"
2026-06-14T00:26:58Z,hard_phishing_polite.html,Suspicious / needs review,0.5927,0.7211,4,0,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), which is typical of mass phishing campaigns.; [HIGH] Credential redirect URL detected: At least one link contains a path keyword such as /login, /verify or /auth — commonly used on spoofed landing pages designed to steal user credentials."
2026-06-14T00:56:12Z,hard_phishing_polite.html,Suspicious / needs review,0.5927,0.7211,4,0,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), which is typical of mass phishing campaigns.; [HIGH] Credential redirect URL detected: At least one link contains a path keyword such as /login, /verify or /auth — commonly used on spoofed landing pages designed to steal user credentials."
2026-06-14T00:57:23Z,hard_phishing_polite.html,Suspicious / needs review,0.5927,0.7211,4,0,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), which is typical of mass phishing campaigns.; [HIGH] Credential redirect URL detected: At least one link contains a path keyword such as /login, /verify or /auth — commonly used on spoofed landing pages designed to steal user credentials."
2026-06-14T01:35:35Z,phishing_reply_mismatch.eml,Likely phishing,0.9833,0.9755,8,2,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), typical of mass phishing campaigns.; [CRITICAL] Spoofed domain detected: A link mimics a well-known platform using character substitution.; [HIGH] Credential redirect URL detected: At least one link contains /login, /verify or /auth — used on spoofed landing pages to harvest credentials.; [HIGH] High-entropy domain detected: The domain name appears algorithmically generated (DGA), a technique used by attackers to evade static blacklists.; [CRITICAL] Email header anomaly: Reply-To domain differs from From domain; [CRITICAL] Email header anomaly: Return-Path domain differs from From domain"
2026-06-14T01:52:51Z,hard_phishing_polite.html,Suspicious / needs review,0.6631,0.7211,5,0,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), typical of mass phishing campaigns.; [HIGH] Credential redirect URL detected: At least one link contains /login, /verify or /auth — used on spoofed landing pages to harvest credentials.; [HIGH] High-entropy domain detected: The domain name appears algorithmically generated (DGA), a technique used by attackers to evade static blacklists."
2026-06-14T02:07:28Z,phishing_reply_mismatch.eml,Likely phishing,0.9833,0.9755,8,2,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), typical of mass phishing campaigns.; [CRITICAL] Spoofed domain detected: A link mimics a well-known platform using character substitution.; [HIGH] Credential redirect URL detected: At least one link contains /login, /verify or /auth — used on spoofed landing pages to harvest credentials.; [HIGH] High-entropy domain detected: The domain name appears algorithmically generated (DGA), a technique used by attackers to evade static blacklists.; [CRITICAL] Email header anomaly: Reply-To domain differs from From domain; [CRITICAL] Email header anomaly: Return-Path domain differs from From domain"
2026-06-14T19:16:15Z,hard_phishing_polite.html,Suspicious / needs review,0.6631,0.7211,5,0,"[HIGH] Urgency language detected: The text pressures the recipient to act immediately — a classic psychological trigger in phishing attacks.; [MEDIUM] Action-oriented request detected: Contains explicit instructions to click, verify or reset credentials — typical of credential harvesting.; [LOW] Generic greeting detected: The message lacks personalisation (e.g. 'Dear Customer'), typical of mass phishing campaigns.; [HIGH] Credential redirect URL detected: At least one link contains /login, /verify or /auth — used on spoofed landing pages to harvest credentials.; [HIGH] High-entropy domain detected: The domain name appears algorithmically generated (DGA), a technique used by attackers to evade static blacklists."
